M target x y z
material1 2.9523636003708784 0.7965206138153014 0.28496506392708354 0.1059076010264769
material2 3.574732022212649 0.9217022328603437 0.39532410613922464 0.4588046693089761
material3 3.2057012644982352 0.8005952231833641 0.8183927418237319 0.2460408957620147
material4 3.222045519595423 0.6878093680938887 0.9241790899045291 0.6117343595071163
material5 2.5725620894572474 0.580261272863343 0.8189868204995198 0.28815233581755206
material6 3.466886983484067 0.8763474478393362 0.84893789571429 0.26895314185770025
material7 3.647028172646425 0.9900478368852982 0.3473981891457676 0.28413611981689124
material8 2.0547118085014535 0.5043454270488114 0.4704345547193304 0.020669219595132904
material9 1.548757666447222 0.27684716961910083 0.7402524640920157 0.1765121996617094
material10 0.9321563879677174 0.04160539864297674 0.1998525544188997 0.47616647007986723
